Input,Material,Colour,Weight,Volume
"Breville Lustra Electric Kettle, 1.7 Litre, 3 KW Fast Boil, Storm Grey [VKT065]
Brand Breville
Colour Storm Grey
Capacity 1.7 litres
Material Stainless Steel
Item Dimensions  L x W x H 16 x 16 x 27 centimetres
Elegant design in a luxurious pearlescent colour finish with mirror chrome accents
3 KW concealed element for rapid boiling; 1.7 Litre capacity makes 6 to 8 cups
Rear water window makes accurate filling easy and illuminates white on boil
Removable, cleanable limescale filter; concealed element for easy cleaning
360 Degree rotational base, lift off lid, non-slip feet and cord storage
Brand Breville
Model Number VKT065
Colour Storm Grey
Product Dimensions 16 x 16 x 27 cm; 1.11 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Material Stainless Steel
Auto Shutoff No
Special Features Concealed_Heating
Item Weight 1.11 kg
",metal,grey,1.11kg,1.7L
"Russell Hobbs 24361 Inspire Electric Fast Boil Kettle, 3000 W, 1.7 Litre, Black with Chrome Accents
Brand Russell Hobbs
Colour Black
Capacity 1.7 litres
Material Plastic
Power / Wattage 3000 watts
3 KW premium plastic textured design, complemented by sleek chrome accents with lift off lid and an ideal pour spout
Ideal for those with busy days, boiling one cup in just 45 seconds, boiling one cup versus 1 Litre
Easy-view water window with delicate blue illumination upon boil
Includes removable, washable anti-scale filter to trap any impurities in water and cord storage in the 360 Degrees base
2 years guarantee plus 1 years when you register the product online
Brand Russell Hobbs
Model Number 24361
Colour Black
Product Dimensions 15.8 x 23.5 x 26.7 cm; 1.58 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Plastic
Auto Shutoff No
Item Weight 1.58 kg
",plastic,black,1.58kg,1.7L
"Swan 10 Litre (40 cup) Commercial Stainless Steel Catering Urn / Water Boiler
Brand Swan
Colour Silver
Material Stainless Steel
Item Dimensions  L x W x H 25 x 25 x 46 centimetres
Item Weight 2.8 Kilograms
Boil up to 40 cups at once with the generous 10L capacity so it’s great for social events, conferences and more!
Durable stainless steel construction and drip tray to catch any extra spillages , Boil Time - 45 minutes
Automatic temperature control and 1.6kW rapid boil for total convenience
Unique style steam vented lid fitting and concealed heating element.
150W keep hot function for your convenience
Brand Swan
Model Number SWU10L
Colour Silver
Product Dimensions 25 x 25 x 46 cm; 2.8 Kilograms
Capacity 10 litres
Volume Capacity 10 litres
Power / Wattage 1600 watts
Material Stainless Steel
Auto Shutoff No
Special Features Keep Warm Function, Concealed Heating
Item Weight 2.8 kg
",metal,silver,2.8kg,10L
"Salter EK3931IND Opulence Kettle | 1.7 Litre Capacity | 3000 W | Rapid Boil-Dry Protection | Auto Shut-Off | Soft-Touch Finish | Indigo
Brand Salter
Colour Indigo
Capacity 1.7 litres
Power / Wattage 3000 watts
Item Dimensions  L x W x H 22 x 17 x 24.5 centimetres
Whether it is a quick morning coffee or afternoon tea with friends, boil your water in style using this Salter Opulence Kettle.
Measuring 22 l x 17 w x 24.5 h cm, this kettle features a rapid boil and has a 1.7 litre capacity, enough for up to 8 standard cups.
Smart and attractive in the kitchen, the kettle has a limescale filter to maintain the kettle and ensure clean water on every use.
Includes a 360° swivel base for left and right handed users, plus integrated strix control and auto-shut off for total peace of mind.
Fitted with a water window, this kettle is has a sleek indigo soft-touch finish which is sure to compliment most colour schemes.
Brand Salter
Model Number EK3931IND
Colour Indigo
Product Dimensions 22 x 17 x 24.5 cm; 1.24 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Item Weight 1.24 kg
",other,indigo,1.24kg,1.7L
"Progress® EK3758PBLK Scandi Rapid Boil Jug Kettle with Wood Effect Finish | Boil-Dry Sensor | 360 ° Swivel Base | 1.5 Litre Capacity | Automatic Shut Off | 3000 W | Black
Brand PROGRESS
Colour Black
Item Dimensions  L x W x H 25.5 x 14.5 x 18.3 centimetres
Perfect for making a delicious morning tea or coffee, this Progress Scandi Jug Kettle is sure to compliment any kitchen setting.
For a fast and powerful way to enjoy hot drinks, the jug kettle offers a 3kW rapid boil ideal for a quick brew on those busy mornings.
Brilliantly safe and efficient, the kettle has a boil-dry sensor with automatic shut-off and a cord storage for easy transporting.
With 3000 W, the kettle has an easy view water window and a 360 degree swivel base making it suitable for left and right handed users.
Combining functionality with style, the Nordic inspired jug kettle has wood effect finish which will look great in any kitchen setting.
Brand PROGRESS
Model Number EK3758PBLK
Colour Black
Product Dimensions 25.5 x 14.5 x 18.3 cm; 1.2 Kilograms
Volume Capacity 1.5 litres
Special Features Boil_Dry_Protection
Item Weight 1.2 kg
",other,black,1.2kg,1.5L
"Bosch TWK7105GB City Cordless Kettle, 1.7 Litre, 3000 W - Anthracite
Brand Bosch
Colour Anthracite
Capacity 1.7 litres
Material Stainless Steel
Voltage 240 Volts
Concealed heating element for less limescale build-up
Limescale filter in spout
Cord storage in base
Triple Safety Feature : automatic shut-off, overheat and boil-dry protection, switch-off when lifted off base
Featuring a stainless steel interior base
Water level indicator with cup scale, readable from outside
Brand Bosch
Model Number TWK7105GB
Colour Anthracite
Product Dimensions 15.2 x 23.7 x 25 cm; 1.5 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Voltage 240 Volts
Material Stainless Steel
Auto Shutoff Yes
Energy Efficiency Class A++ to B
Special Features Boil Dry Protection, Cordless, Concealed Heating, Triple Safety Feature : automatic shut-off, overheat and boil-dry protection, switch-off when lifted off base
Item Weight 1.5 kg
",metal,other,1.5kg,1.7L
"Swan Retro 1.8 Litre Dome Kettle, Red, Fast Boil, 3KW, 360 Degree Rotational Base, Stainless Steel, SK14630RN, 18/8, 1.8 liters
Brand Swan
Colour Red
Capacity 1.8 litres
Material Stainless Steel
Item Dimensions  L x W x H 27 x 19.5 x 23 centimetres
Generous 1.8 litre capacity means you can get more than 8 cups out of just one boil, plenty of water for making yourself, your partner and the rest of a family a nice hot drink and ensuring you’re always prepared for unexpected guests. Ideal for domestic kitchens small and large, those who prefer a more classic retro style, cafes, diners, hotels, guest houses, offices and staff rooms. It also makes the perfect gift for newlyweds, new homeowners or students moving into student accommodation.
Its cordless design means it’s easy to use and carry about without being restricted, great for topping up someone’s drink or if you need to add hot water to your cooking. The 360-degree rotational base also makes it the ideal for both left and right-handed users.
3KW concealed heating element allows for safety and optimum efficiency with fast boil technology, you don’t have to wait round for that hot cup of coffee in the morning. With an automatic cut out and boil dry protection to ensure safety when in use.
The sturdy top handle and specially designed spout allow for easy pouring with no drips or spills. With a see-through measuring gauge on the side, you can measure exactly how much water you need for energy efficient boiling.
The Swan Retro Range delivers that classic retro feel to your home with a whole range of colours to suit any kitchen. Made with a robust stainless-steel body in a beautiful deep red with striking chrome effect finishes, this kettle makes a stylish addition to anyone’s kitchen.
Comes with a 2-year warranty.
Brand Swan
Model Number SK14630RN
Colour Red
Product Dimensions 27 x 19.5 x 23 cm; 1.3 Kilograms
Capacity 1.8 litres
Volume Capacity 1.8 litres
Material Stainless Steel
Special Features Boil_Dry_Protection, Generous 1.8 litre Capacity, Concealed_Heating, Cordless, 3kw Rapid Boil
Item Weight 1.3 kg
",metal,red,1.3kg,1.8L
"Russell Hobbs 21889 Emma Bridgewater Kettle, Polka Dot Cordless Electric Kettle, 3000 W
Brand Russell Hobbs
Colour Polka Dot
Capacity 1.7 litres
Voltage 240
Power / Wattage 3000 watts
Contemporary designs that capture the nostalgia of heart and home; the Polka Dot kettle is a marriage of one of Emma's loved signature designs and Russell Hobbs' technology
Designed exclusively by Emma Bridgewater: Featuring one of Emma Bridgewater iconic and best loved designs; the Polka Dot design has been created to look hand drawn for a homely appeal
A wealth of modern features: it’s faster boiling technology means you can enjoy a single cup (235 ml) in just 45 seconds (vs 1 Litre) and its perfect pour spout means less drips and spills from kettle to cup
70 Percent quieter* - for a more peaceful kitchen; it's also ideal for smaller households, apartment living and warming baby's bottle in the middle of the night. *Vs standard Russell Hobbs kettle
2 years manufactures guarantee: Plus one extra year when you register the product online
Brand Russell Hobbs
Model Number 21889
Colour Polka Dot
Product Dimensions 23.3 x 23.3 x 29.7 cm; 1.8 Kilograms
Capacity 1.7 litres
Volume Capacity 1 litres
Power / Wattage 3000 watts
Voltage 240
Special Features 360° base with cord storage, Boil dry protection, Removable and washable limescale filter, Rapid boil zone markers, Quiet boil
Item Weight 1.8 kg
",other,other,1.8kg,1.7L
"Tower T10040BP Glass Kettle with LED Blue Light, Boil Dry Protection, Automatic Shut-Off, Durable Schott Glass, Concealed Heating Element, 3000 W, 1.7 Litre, Blush Pink Glitz Sparkle
Brand Tower
Colour Pink
Material Glass
Item Dimensions  L x W x H 15.6 x 22 x 23.6 centimetres
A stylish blush pink sparkle design adds some glitz to your kitchen collection and makes a statement
The use of a Schott glass material provides extra durability to the kettle, ensuring it will last you for many years to come
1.7 litre capacity lets you make up to 7 cups on a single boil so you can enjoy a brew with your friends and family
Automatically shuts off when the kettle is boiled for added peace of mind if you are elsewhere in the house
The lid release is located on the handle and makes filling up with water that little more convenient
Comes with 1 year guarantee, get extended 2 years warranty upon registration
Brand Tower
Model Number T10040BP
Colour Pink
Product Dimensions 15.6 x 22 x 23.6 cm; 1.42 Kilograms
Volume Capacity 1.7 litres
Material Glass
Special Features Sparkle color with SUS decoration, Boil_Dry_Protection, Concealed heating element, Schott glass, Automatic shut-off, Concealed_Heating, Automatic lid opening
Item Weight 1.42 kg
",glass,pink,1.42kg,1.7L
"Russell Hobbs 26050 Cordless Electric Kettle - Contemporary Honeycomb Design with Fast Boil and Boil Dry Protection, 1.7 Litre, 3000 W, White
Brand Russell Hobbs
Colour White
Capacity 1.7 litres
Material Plastic
Voltage 240
Textured Design - With a honeycomb-textured finish on premium white plastic, this kettle brings style to your kitchen with every brew you make.
Rapid Boil - With internal 1/2/3 cup indicators, a speedy brew has never been easier. Simply fill your kettle up with the amount of water you need, and Boil One Cup in 43 Seconds*.
1.7 Litre Capacity - That’s why the Honeycomb Kettle has an impressive 1.7L Capacity. The perfect size to cater for all, this kettle makes sure your every boiling need is taken care of.
Boil Dry Protection - Designed to protect your kettle from over-boiling, Boil Dry Protection prevents your kettle from boiling if there is not enough water inside of it.
2 Year Manufactures Guarantee - Plus 1 extra year when you register the product online.
Brand Russell Hobbs
Model Number 26050
Colour White
Product Dimensions 16.1 x 21 x 22.8 cm; 1.1 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Voltage 240
Material Plastic
Special Features Water window with internal illumination, Boil dry protection, Rapid boil zone markers - Boils one cup in 43 seconds*, 360 base with cord storage, Perfect pour spout
Item Weight 1.1 kg
",plastic,white,1.1kg,1.7L
"Aigostar Cooltravel 30MBA - Travel Electric Kettle, 650W, 0.6L Mini Water Pot, Auto Shut Off with Boil-Dry Protection, BPA Free, Includes 2 Cups and 2 Spoons, Black.
Brand Aigostar
Colour Black
Capacity 0.6 litres
Material Plastic
Power / Wattage 650 watts
【Compact Design】This travel kettle has a capacity up to 0.6L , ideal for one or two people. Heating with 650 watt power brings water to a boil in three minutes roughly. Besides, its main body and base are integrated for easy carrying.
【BPA Free】The kettle body uses food grade plastic material, which is 100% BPA free without any harmful Bisphenol A chemicals, healthy and safety for you and your families.
【Practical Design】On/Off LED light indicator for easy use. One touch on/off switch and simple lid-open switch for convenient operatation. Cool-touch handle for easy grip. Includes 2 cups and 2 spoons, can be storage in the kettle easily.
【Safety】Boil dry protection when turned on but no water is in the carafe and concealed heating element automatically shut off upon boiling ensure that you will never reaching burning point.
【Quality Assurance】2-year warranty. If you have any questions about our products, you can always contact us and we will be happy to help.
Brand Aigostar
Colour Black
Product Dimensions 16.4 x 10.7 x 16.5 cm; 540 Grams
Capacity 0.6 litres
Volume Capacity 0.6 litres
Power / Wattage 650 watts
Material Plastic
Auto Shutoff No
Special Features Boil Dry Protection
Item Weight 540 g
",plastic,black,540g,0.6L
"Salter EK3218TITANIUM Polaris Dome Kettle With Automatic Shut Off, 3000 W, 1.7 Litre, Titanium Edition With Anti Limescale Filter
Brand Salter
Colour Titanium
Item Dimensions  L x W x H 23 x 19.8 x 27.4 centimetres
The Salter Polaris dome kettle features a striking metallic titanium Finish, for a stylish design to perfectly match any kitchen décor.
The kettle boasts a powerful 3 kW rapid-boil element Which allows for a fast and easy way to enjoy hot drinks, any time of day.
With a 1. 7 litre capacity, It can make 6–8 cups from one boil while the rear water gauge makes it easy to fill the correct amount.
Safe and easy to maintain, the kettle features a boil dry sensor, Otter controller and a removable, washable anti-lime scale filter.
Perfect for a busy family home, It even offers a cordless design with a 360°C swivel base, great for both left and right handed users.
Brand Salter
Model Number EK3218TITANIUM
Colour Titanium
Product Dimensions 23 x 19.8 x 27.4 cm; 1.74 Kilograms
Volume Capacity 1.7 litres
Special Features Cordless
Item Weight 1.74 kg
",metal,other,1.74kg,1.7L
"Bosch TWK8631GB Styline Collection Kettle, 1.5 L - White/Silver
Brand Bosch
Colour White
Capacity 1.5 litres
Material Stainless Steel, Plastic
Voltage 240
TemperatureControl within the base with four different settings for different drinks (100°C/90°C/80°C/70°C)
KeepWarm Function: Keeps the selected temperature for up to 30 minutes
Double-walled stainless steel housing for convenience, safety & Cool Touch
Stainless steel interior base with concealed heating element for less limescale build up
Anti slip 'soft touch' handle
Brand Bosch
Model Number TWK8631GB
Colour White
Product Dimensions 21 x 17.5 x 26.3 cm; 1.6 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Voltage 240
Material Stainless Steel, Plastic
Auto Shutoff Yes
Energy Efficiency Class A+ to F
Special Features Adjustable Temperature, Cool Wall, Boil Dry Protection, Cordless, Keep Warm Function, Concealed Heating
Item Weight 1.6 kg
",metal,white,1.6kg,1.5L
"Daewoo Scandia 1.7L Stainless Steel Kettle (2500-3000W Power Output) Rapid Quiet Boil and Removable Washable Limescale Filter, 360º Rotational Base and Handy Cord Storage- Black
Brand Daewoo
Colour Black Kettle
Capacity 1.7 litres
Material Stainless Steel
Power / Wattage 3000 watts
LARGE CAPACITY- The large 1.7L capacity will fill roughly 7 cups of water on a full boil - perfect for entertaining large groups.
RAPID BOIL- Our Scandia kettle has been designed with speed in mind - with the rapid boil feature you can enjoy a hot beverage in no time - This kettle 2500-3000w of power.
REMOVABLE WASHABLE FILTER- Simply take out the limescale filrer which makes cleaning your kettle quick and easy, rinse in hot water.
AUTOMATIC SWITCH OFF FEATURE- Save energy and stay safe with our Automatic switch off feature - this kettle shows when in use with an LED indicator.
FULLY ROTATIONAL BASE- This kettle is fully rotational with a handy cordless base, with 360 degree rotation for easy use - Keep your kitchen surface tidy by using the cord storage aspect.
Brand Daewoo
Colour Black Kettle
Package Dimensions 24.2 x 20.5 x 19.3 cm; 1.22 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Item Weight 1.22 kg
",metal,black,1.14kg,1.7L
"Progress® EK3865PBLK Ombre Stainless Steel Kettle | 1.7 L | 3000 W | Rapid Boil | Anti-Limescale Filter | Boil-Dry Sensor | Black
Brand PROGRESS
Colour Black
Item Dimensions  L x W x H 21.2 x 15.2 x 24.1 centimetres
From the Progress Ombre Collection, enjoy hot teas and warming coffees with this 1.7 L Kettle, a perfect addition to any modern home.
With 3000 W power, create the perfect amount of drinks with the easy-view water window so you can boil the exact amount needed.
Featuring a concealed heating element, the kettle has been specially designed to boil fast, great for making a quick morning drink.
Measuring a compact 21.2 l x 15.2 w x 24.1 h cm, the kettle can fit comfortably anywhere in the kitchen with a cord length of 70 cm.
Combining functionality with style, it will look great in any kitchen, boasting a modern ombre design with a stainless steel body.
Brand PROGRESS
Model Number EK3865PBLK
Colour Black
Product Dimensions 21.2 x 15.2 x 24.1 cm; 1.14 Kilograms
Volume Capacity 1.7 litres
Item Weight 1.14 kg
",metal,black,1.14kg,1.7L
"Swan SK31040BN Retro Kettle with Temperature Dial, 360 Degree Rotational Base, 3000 W, 1.5 liters, Black
Brand Swan
Colour Black
Capacity 1.5 litres
Material Stainless Steel
Power / Wattage 3000 watts
Generous 1.5 litre capacity meaning you can get more than 6 cups out of just one boil, plenty of water for making yourself, your partner and the rest of a family a nice hot drink and ensuring you’re always prepared for unexpected guests. Ideal for domestic kitchens small and large, those who prefer a more classic retro style, cafes, diners, hotels, guest houses, offices and staff rooms. It also makes the perfect gift for newlyweds, new homeowners or students moving into student accommodation.
Its cordless design means it’s easy to use and carry about without being restricted, great for topping up someone’s drink or if you need to add hot water to your cooking. The 360-degree rotational base also makes it the ideal for both left and right-handed users.
3KW concealed heating element allows for safety and optimum efficiency with fast boil technology, you don’t have to wait round for that hot cup of coffee in the morning. With an automatic cut out and boil dry protection to ensure safety when in use.
The sturdy handle and specially designed spout allow for easy pouring with no drips or spills. With a see-through measuring gauge on the side, you can measure exactly how much water you need for energy efficient boiling. The eye-catching external temperature dial also allows you to adjust the temperature when it comes to preparing delicate teas which can sometimes require a lower temperature, or for making cooler drinks for little ones.
The Swan Retro Range delivers that classic retro feel to your home with a whole range of colours to suit any kitchen. Made with a robust stainless-steel body in black with chrome effect finishes, this kettle makes a stylish addition to anyone’s kitchen.
Comes with a 2-year warranty.
Brand Swan
Model Number SK31040BN
Colour Black
Product Dimensions 22.1 x 17.4 x 24.7 cm; 1.33 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Boil_Dry_Protection, Concealed_Heating, External Temperature Gauge, Cordless, 3000 Watt Rapid Boil
Item Weight 1.33 kg
",metal,black,1.33kg,1.5L
"Swan SK18121REDN Jug Kettle, Cordless Design, 1.7L, 2.2Kw, Red
Brand Swan
Colour Red
Item Dimensions  L x W x H 13 x 22 x 25.5 centimetres
1.7 Litre capacity
Cordless design
Automatic cut off
Removable filter
1850-2200W
Brand Swan
Model Number SK18121REDN
Colour Red
Product Dimensions 13 x 22 x 25.5 cm; 820 Grams
Volume Capacity 1.7 litres
Special Features Removable filter, Cordless
Item Weight 820 g
",other,red,820g,1.7L
"Duronic Electric Kettle EK30 BK | 3KW Variable Temperature Control | BLACK | 1.5L Fast Boil 3000W Eco Kettle | Keep Warm Function | Energy Efficient | Insulated Cool Touch | Cordless 360 Base
Brand Duronic
Colour Black
Capacity 1.5 litres
Material Plastic and Stainless Steel
Voltage 230 Volts
ECO-FRIENDLY FAST BOIL: Not all tea and coffee drinks require water at the highest temperature of 100°c, however with a standard kettle you have no choice but to boil your water to the higher temperature (using more power) and then have to either make your drink with water that destroys the taste of the cup and also wastes power unnecessarily. With the EK30 kettle you can boil water to the temperature you need, saving you time and money at the same time.
VARIABLE TEMPERATURE CONTROL: Easy to reach buttons on the handle of this kettle allow you to alter the temperature of the water you want to heat. Choose from 40°c, 60°c, 90°c or 100°c depending on what beverage you are making. 40°c is ideal for Lemsips and hot water bottles, 60°c is for unique coffees, 80°c is ideal for tea and coffee, and 100°c is for black tea and other herbal teas.
KEEP WARM FUNCTION: Another great function of this Duronic water boiler is that after heating your water you can press the Keep Warm button to keep the water in the kettle at the same hot temperature for up to 30 minutes. This is perfect if you usually like to go for second drink after your first one, of if you know someone else will want a hot drink shortly after you.
CORDLESS DESIGN WITH ADDED SAFETY FEATURES: For safety and convenience reasons we have designed this kettle to be cordless and have a 360° base which enables you to lift the kettle from any direction you wish making it idea for both left-handed and right-handed users. Additional safety features include auto shut-off and boil dry protection.
FEATURES AND SPECIFICATIONS: Cordless design. Quiet operation compared to other kettles on the market. Easy lift lid. Temperature settings 40-100°c. Visible transparent window to show indication of the water level. Concealed heating element. Notification beep lets you know when the kettle is finished heating. Strong stainless-steel spout filter. Easy to clean and descale. Power: 2500W-3000W. Jug capacity: 0.5L – 1.5L. Size: 26cm x 14.5cm (23cm with handle).
Brand Duronic
Model Number EK30BK
Colour Black
Product Dimensions 23 x 14.5 x 26 cm; 1 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Voltage 230 Volts
Material Plastic and Stainless Steel
Auto Shutoff Yes
Special Features <p>✅ 3000W power</p> <p>✅ Adjustable temperature</p> <p>✅ 1.5 litre capacity</p> <p>✅ Keep-warm function</p> <p>✅ Ergonomic with easy-lift lid</p> <p>✅ 0.5L, 0.75L, 1L, 1.25L and 1.5L markings for easy filling</p> <p>✅ fast boil</p> <p>✅ 360 degree rotation</p>
Item Weight 1 kg
",metal,black,1.0kg,1.5L
"Swan Professional Catering Urn 20 Litre, Stainless Steel, SWU20L
Brand Swan
Colour Stainless Steel
Material Stainless Steel
Shape Round
Item Dimensions  L x W x H 32 x 52 x 32 centimetres
Boil up to 80 cups at once with the generous 20L capacity Great for social events/ conferences and more
Durable stainless steel construction and drip tray to catch any extra spillages
Automatic temperature control for total convenience, Boil 2.2kW for a rapid and powerful boil
Unique style steam vented lid fitting, Heating concealed element for a rapid boil
150W keep hot function for your convenience
Brand Swan
Model Number SWU20L
Colour Stainless Steel
Product Dimensions 32 x 52 x 32 cm; 3.76 Kilograms
Capacity 20 litres
Volume Capacity 20 litres
Power / Wattage 2200 watts
Material Stainless Steel
Auto Shutoff No
Special Features Keep Warm Function, Concealed Heating
Item Weight 3.76 kg
",metal,other,3.76kg,20L
"LIVIVO Sirius Electric Kettle Fast Boil Jug Hot Water Dispenser with Thermometer/Temperature Dial 3000W 1.7L BPA Free 360° Swivel Base Kitchen – White Retro Style
RETRO KETTLE: LIVIVO Retro Kettle boils water within 2-5 minutes, 5mins to boil a full pot (1.7L), 0.5L for just 2 mins. Effectively saves more energy. 1.7L Large capacity makes enough water for 6-7 people, perfect match for coffee, tea, pasta, oatmeal etc.
FAST BOILING MECHANISM: This LIVIVO kettle is built with faster heating tech that allows it to boil 1.7L water in 5mins or 40sec for 1 cup of water. No waiting, no energy waste.
N BUILT TEMPERATURE DIAL: The built in thermometer on the front of the kettle shows the temperature of water inside the dispenser, making it easy to stop boiling at the perfect moment.
SWIVEL BASE: 360-Degree Swivel Base is a top quality professional kettle for use in all types of places and is designed to give outstanding performance day after day. The mode kettle has a handy 360 degrees base so it can be comfortably used by right and left-handed people and to keep your worktop clutter-free
WASHABLE FILTER: There is a removable, washable filter to keep your kettle and water clean and free from bits. It sits inside the easy pour spout and can be easily taken out, rinsed under the tap, and replaced.
Brand LIVIVO
Colour White
Volume Capacity 1.7 litres
",other,white,1.7kg,1.7L
"ANSIO Kettle, Electric Kettle 3000W 1.7L Cordless, Stainless Steel Kettle, Boil Dry Protection & Auto Shut Off, Strix Controller
Brand ANSIO
Colour Stainless Steel - Silver
Material Stainless Steel
Power / Wattage 3000 watts
360° rotational cordless electric kettle for ease of use. Made from 304-food grade stainless steel.
3000 Watts kettle with 1.7 litre capacity. Inbuilt thermostat and strix controller to ensure precise temperature control while assuring safety. Equipped with power indicator blue light that lights up while boiling.
Auto shut-off to turn the kettle off automatically when the water is boiled & boil dry protection feature to avoid dry boiling when the water level is too low, to ensure safety and save power.
Two easy to-view external water level windows and an ideal mouth size for easy cleaning. Removable and washable filter for ease of use. Automatic lid opening at the press of a button.
We strive to ensure that our customers are completely satisfied with their purchase. We request that you kindly contact us if you have queries.
Brand ANSIO
Colour Stainless Steel - Silver
Package Dimensions 25.15 x 21.84 x 16.51 cm; 1.38 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Boil Dry Protection, Cordless
Item Weight 1.38 kg
",metal,silver,1.38kg,1.7L
"Tower Bottega T10020WMRG Rapid Boil Traditional Kettle with Temperature Dial, Boil Dry Protection, Automatic Shut Off, Quiet, Stainless Steel, 3000 W, 1.7 Litre, Marble and Rose Gold
Brand Tower
Colour Marble and Rose Gold
Capacity 1.7 litres
Material Stainless Steel
Power / Wattage 3000 watts
3kW heating element provides a rapid boiling time
1.7 litre capacity makes up to 7 cups from one fill
Quiet boil technology keeps noise to a minimum
360 degree swivel base with unique temperature dial
Part of the white marble and rose gold range
Comes with 1 year guarantee, get extended 2 years warranty upon registration
Brand Tower
Model Number T10023W
Colour Marble and Rose Gold
Product Dimensions 24 x 18.5 x 29.3 cm; 1.76 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Temperature dial, Boil dry protection, Automatic switch off, Quiet boil, 360 degree swivel base
Item Weight 1.76 kg
",metal,gold,1.76kg,1.7L
"Progress® EK3437P 1.7 L Plastic Kettle with Soft Grip Handle, 2200 W, White
Brand PROGRESS
Colour White
Item Dimensions  L x W x H 21.8 x 13.5 x 25.1 centimetres
The easy to use kettle has a soft touch handle for easy grip and two observation windows with water level indicators, ideal for all.
A generous 1.7 litre capacity and impressive 2200 W power means you can save time and make hot drinks for all the family in one boil.
The boil-dry sensor with auto shut-off along with the removable and washable limescale filter will ensure long lasting performance.
Measuring a great size of 21.9 l x 13.5 w x 25.1 h cm and offering a handy cordless design, the minimalistic device suits any décor
Offering a no fuss design and functionality, simply fill up, switch on using the on/off switch with indicator light and wait to boil.
Brand PROGRESS
Model Number EK3437P
Colour White
Product Dimensions 21.85 x 13.5 x 25.1 cm; 920 Grams
Volume Capacity 1.7 litres
Item Weight 920 g
",plastic,white,920g,1.7L
"Morphy Richards Jug Kettle Evoke Jug Kettle 104407 Electric Kettle Cream
Brand Morphy Richards
Colour Cream
Capacity 1.5 litres
Material Stainless Steel
Voltage 240 Volts
Large 1.5L capacity, so you can make up to 6 drinks at a time
Anti limescale kettle filter to ensure a quality hot drink
3kW kettle element for rapid boil with 360° base for left and right hand use
Cord storage feature to keep your worktop safe and neat and tidy
Easy view water window to boil just the amount you need
Brand Morphy Richards
Model Number 104407
Colour Cream
Product Dimensions 23 x 17 x 25 cm; 1.09 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Voltage 240 Volts
Material Stainless Steel
Auto Shutoff No
Special Features Water_Filter
Item Weight 1.09 kg
",metal,cream,1.09kg,1.5L
"De'Longhi Distinta X Design 1.7L Rapid Boil Metal Kettle, Stainless Steel, Anti-Limescale Filter, Cord Storage KBI3001.M - Brushed Steel
Brand De'Longhi
Colour Metal
Item Dimensions  L x W x H 18 x 22.5 x 25 centimetres
Elegant Brushed Steel Finish - A Timeless classic finish and elegant design with a touch of Italian minimalist styling.
Stainless Steel Body with Chrome Details & Matching 360° Swivel Base with Cord Storage
Rapid Boil, Large 1.7L Capacity, Anti-Limescale Filter and 3-Level Safety Protection
Matching Four Slot Toaster and Coffee Machines available
Brand De'Longhi
Model Number KBI3001.M
Colour Metal
Product Dimensions 18 x 22.5 x 25 cm; 1.84 Kilograms
Volume Capacity 1.7 litres
Item Weight 1.84 kg
",metal,other,1.84kg,1.7L
